Codigo_Planta,Nombre_Recurso_UPME,Departamento,Codigo_Municipio,Municipio,Region_Geografica,Longitud,Latitud,Capacidad_Efectiva_MW,Tipo_Generacion_UPME,Combustible_UPME,Tipo_Despacho_UPME,Clasificacion_UPME,Estado_Recurso_UPME,Agente_Representante_UPME,Fecha_Operacion_UPME,Anio_FPO_UPME,Fecha_Actualizacion_UPME,Factor_Conversion,Es_Menor,Id_UPME
CTG3,CARTAGENA 3,BOLÍVAR,13001,CARTAGENA DE INDIAS,Caribe,-75.45921916563543,10.46297167339698,66.0,TERMICA,COMBUSTOLEO,DC,NORMAL,OPERACIÓN,NITRO ENERGY COLOMBIA S.A.S. E.S.P.,1979-12-31,1980,2026-08-03,11.522,NO,157
CTM1,EL MORRO 1,CASANARE,85001,YOPAL,Oriente,-72.25798324179046,5.242711687577748,19.9,TERMICA,GAS,ND,NORMAL,INACTIVO,TERMOYOPAL GENERACION 2 S.A.S E.S.P.,2007-05-22,2007,2026-08-03,12.4,SI,209
CTM2,EL MORRO 2,CASANARE,85001,YOPAL,Oriente,-72.25798324179046,5.242711687577748,19.9,TERMICA,GAS,ND,NORMAL,INACTIVO,TERMOYOPAL GENERACION 2 S.A.S E.S.P.,2007-08-08,2007,2026-08-03,13.84,SI,208
CTMO,CENTRAL TUMACO 1,VALLE DEL CAUCA,76126,CALIMA,Pacífico,-76.64236819829615,3.923293334832259,0.0,COGENERADOR,BAGAZO,ND,COGENERADOR,INACTIVO,CELSIA COLOMBIA S.A. E.S.P.,2007-03-24,2007,2026-08-03,0.0,NO,598
CUC1,CUCUANA,TOLIMA,73622,RONCESVALLES,Centro,-75.59429264769672,4.0978559171133995,56.0,HIDRAULICA,AGUA,DC,FILO DE AGUA,OPERACIÓN,CELSIA COLOMBIA S.A. E.S.P.,2015-07-28,2015,2026-08-03,5.9476,NO,538
CUR1,CURRUCUCUES,TOLIMA,73624,ROVIRA,Centro,-75.34759717815423,4.2167286851347585,1.25,HIDRAULICA,AGUA,ND,NORMAL,OPERACIÓN,ENERCO S.A. E.S.P.,2010-08-17,2010,2026-08-03,0.52,SI,539
DVS1,DARIO VALENCIA SAMPER,CUNDINAMARCA,25386,LA MESA,Centro,-74.4732199646674,4.650772424841578,150.0,HIDRAULICA,AGUA,DC,FILO DE AGUA,OPERACIÓN,ENEL COLOMBIA SA ESP,2013-11-09,2013,2026-08-03,7.9708,NO,346
EPFV,EL PASO,CESAR,20250,EL PASO,Caribe,-73.7382619683179,9.683721170835586,68.0,SOLAR,RAD SOLAR,DC,NORMAL,OPERACIÓN,ENEL COLOMBIA SA ESP,2024-03-22,2024,2026-08-03,0.0,NO,276
ERO1,EL RIO 1,ATLÁNTICO,08001,BARRANQUILLA,Caribe,-74.82774550660668,10.981524582561143,1.8,TERMICA,GAS,DC,NORMAL,INACTIVO,ELECTRIFICADORA DEL ATLANTICO S.A. E.S.P.,1971-12-31,1972,2026-08-03,0.0,NO,103
ERO2,EL RIO 2,ATLÁNTICO,08001,BARRANQUILLA,Caribe,-74.82774550660668,10.981524582561143,4.0,TERMICA,GAS,DC,NORMAL,INACTIVO,ELECTRIFICADORA DEL ATLANTICO S.A. E.S.P.,1971-12-31,1972,2026-08-03,0.0,NO,104
ERO3,EL RIO 3,ATLÁNTICO,08001,BARRANQUILLA,Caribe,-74.82774550660668,10.981524582561143,4.5,TERMICA,GAS,DC,NORMAL,INACTIVO,ELECTRIFICADORA DEL ATLANTICO S.A. E.S.P.,1971-12-31,1972,2026-08-03,0.0,NO,105
ERO4,EL RIO 4,ATLÁNTICO,08001,BARRANQUILLA,Caribe,-74.82774550660668,10.981524582561143,4.5,TERMICA,GAS,DC,NORMAL,INACTIVO,ELECTRIFICADORA DEL ATLANTICO S.A. E.S.P.,1971-12-31,1972,2026-08-03,0.0,NO,106
ERO5,EL RIO 5,ATLÁNTICO,08001,BARRANQUILLA,Caribe,-74.82774550660668,10.981524582561143,4.0,TERMICA,GAS,DC,NORMAL,INACTIVO,ELECTRIFICADORA DEL ATLANTICO S.A. E.S.P.,1971-12-31,1972,2026-08-03,0.0,NO,107
